Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-19 10:32:21.1, 90.18149, 7.548913, 200, 101.2476
2008-05-19 10:32:31.1, 90.24768, 7.545714, 200, 101.2468
2008-05-19 10:32:41.2, 90.13324, 7.551247, 200, 101.2458
2008-05-19 10:32:51.2, 89.85033, 7.564962, 200, 101.248
2008-05-19 10:33:01.3, 90.01091, 7.557171, 200, 101.2468
2008-05-19 10:33:11.4, 90.03976, 7.555773, 200, 101.2488
2008-05-19 10:33:21.5, 90.26535, 7.54486, 200, 101.2466
2008-05-19 10:33:31.5, 90.00636, 7.557392, 200, 101.2488
2008-05-19 10:33:41.6, 89.69887, 7.572324, 200, 101.2476
2008-05-19 10:33:51.7, 90.21202, 7.547438, 200, 101.2485
2008-05-19 10:34:01.7, 90.08109, 7.553772, 200, 101.2471
2008-05-19 10:34:11.8, 89.98651, 7.558354, 200, 101.2495
2008-05-19 10:34:21.9, 89.77174, 7.568779, 200, 101.2471
2008-05-19 10:34:31.9, 90.01755, 7.55685, 200, 101.2478
2008-05-19 10:34:42.0, 89.90669, 7.562226, 200, 101.2463
2008-05-19 10:34:52.0, 90.04225, 7.555653, 200, 101.2471
2008-05-19 10:35:02.1, 89.88013, 7.563515, 200, 101.2476
2008-05-19 10:35:12.2, 90.16327, 7.549795, 200, 101.2476
2008-05-19 10:35:22.4, 89.94186, 7.560519, 200, 101.2507
2008-05-19 10:35:32.4, 89.74886, 7.569893, 200, 101.2507
2008-05-19 10:35:42.5, 89.78905, 7.567939, 200, 101.2502
2008-05-19 10:35:52.5, 89.62167, 7.576082, 200, 101.2529
2008-05-19 10:36:02.6, 89.82866, 7.566014, 200, 101.2522
2008-05-19 10:36:12.7, 89.68301, 7.573096, 200, 101.2556
2008-05-19 10:36:22.7, 89.87633, 7.5637, 200, 101.2556
2008-05-19 10:36:32.8, 89.81281, 7.566784, 200, 101.2573
2008-05-19 10:36:42.9, 89.9563, 7.559819, 200, 101.2556
2008-05-19 10:36:53.1, 89.94299, 7.560464, 200, 101.2595
2008-05-19 10:37:03.1, 89.81714, 7.566574, 200, 101.26
2008-05-19 10:37:13.2, 89.70091, 7.572225, 200, 101.2615
2008-05-19 10:37:23.2, 89.89702, 7.562695, 200, 101.2595
2008-05-19 10:37:33.3, 89.80959, 7.566941, 200, 101.2625
2008-05-19 10:37:43.4, 89.85629, 7.564672, 200, 101.2615
2008-05-19 10:37:53.4, 89.75807, 7.569444, 200, 101.2625
2008-05-19 10:38:03.5, 89.74669, 7.569998, 200, 101.2627
2008-05-19 10:38:13.6, 89.85583, 7.564694, 200, 101.2617
2008-05-19 10:38:23.8, 89.7354, 7.570548, 200, 101.2642
2008-05-19 10:38:33.8, 89.87529, 7.56375, 200, 101.2664
2008-05-19 10:38:43.9, 89.51558, 7.581253, 200, 101.2695
2008-05-19 10:38:53.9, 89.58078, 7.578074, 200, 101.2698
2008-05-19 10:39:04.0, 89.84724, 7.565112, 200, 101.2693
2008-05-19 10:39:14.1, 89.61578, 7.576369, 200, 101.2717
2008-05-19 10:39:24.1, 89.54419, 7.579858, 200, 101.271
2008-05-19 10:39:34.2, 89.60599, 7.576846, 200, 101.2734
2008-05-19 10:39:44.2, 89.51881, 7.581095, 200, 101.2742
2008-05-19 10:39:54.2, 89.75621, 7.569536, 200, 101.2722
2008-05-19 10:40:04.3, 89.43527, 7.585173, 200, 101.2739
2008-05-19 10:40:14.4, 89.56664, 7.578764, 200, 101.2751
2008-05-19 10:40:24.4, 89.72485, 7.57106, 200, 101.2722
2008-05-19 10:40:34.5, 89.65724, 7.57435, 200, 101.2734
2008-05-19 10:40:44.6, 89.51213, 7.581422, 200, 101.2742
2008-05-19 10:40:54.7, 89.52721, 7.580687, 200, 101.2727
2008-05-19 10:41:04.7, 89.54103, 7.580012, 200, 101.2727
2008-05-19 10:41:14.9, 89.63087, 7.575634, 200, 101.2747
2008-05-19 10:41:24.9, 89.64166, 7.575109, 200, 101.2734
2008-05-19 10:41:35.0, 89.36452, 7.588628, 200, 101.2739
2008-05-19 10:41:45.1, 89.54527, 7.579805, 200, 101.2734
2008-05-19 10:41:55.1, 89.58702, 7.577771, 200, 101.2742
2008-05-19 10:42:05.2, 89.44048, 7.584918, 200, 101.2742
2008-05-19 10:42:15.3, 89.42215, 7.585813, 200, 101.2756
2008-05-19 10:42:25.3, 89.37688, 7.588024, 200, 101.2754
2008-05-19 10:42:35.4, 89.59239, 7.577508, 200, 101.2742
2008-05-19 10:42:45.6, 89.56927, 7.578635, 200, 101.2734
2008-05-19 10:42:55.7, 89.44376, 7.584758, 200, 101.2734
2008-05-19 10:43:05.7, 89.62318, 7.576008, 200, 101.2761
2008-05-19 10:43:15.8, 89.41055, 7.586379, 200, 101.2727
2008-05-19 10:43:25.8, 89.32948, 7.590341, 200, 101.2734
2008-05-19 10:43:35.9, 89.33121, 7.590257, 200, 101.2727
2008-05-19 10:43:46.0, 89.46915, 7.583518, 200, 101.2727
2008-05-19 10:43:56.0, 89.2838, 7.592575, 200, 101.2725
2008-05-19 10:44:06.0, 89.35512, 7.589087, 200, 101.27
2008-05-19 10:44:16.1, 89.42722, 7.585566, 200, 101.272
2008-05-19 10:44:26.1, 89.43105, 7.585379, 200, 101.2693
2008-05-19 10:44:36.2, 89.45911, 7.584009, 200, 101.2688
2008-05-19 10:44:46.3, 89.21552, 7.595917, 200, 101.27
2008-05-19 10:44:56.3, 89.30069, 7.591748, 200, 101.2678
2008-05-19 10:45:06.4, 89.32602, 7.59051, 200, 101.2688
2008-05-19 10:45:16.5, 89.29889, 7.591837, 200, 101.2722
2008-05-19 10:45:26.5, 89.33722, 7.589962, 200, 101.2705
2008-05-19 10:45:36.7, 89.40445, 7.586678, 200, 101.2712
2008-05-19 10:45:46.8, 89.45047, 7.584431, 200, 101.2683
2008-05-19 10:45:56.8, 89.31163, 7.591213, 200, 101.2686
2008-05-19 10:46:06.9, 89.31252, 7.59117, 200, 101.2686
2008-05-19 10:46:17.0, 89.01431, 7.605781, 200, 101.2681
2008-05-19 10:46:27.0, 89.29414, 7.592069, 200, 101.2664
2008-05-19 10:46:37.1, 89.14197, 7.599519, 200, 101.2688
2008-05-19 10:46:47.2, 89.2243, 7.595486, 200, 101.2661
2008-05-19 10:46:57.2, 89.29411, 7.592071, 200, 101.2649
2008-05-19 10:47:07.4, 89.01326, 7.605832, 200, 101.2656
2008-05-19 10:47:17.5, 89.28319, 7.592605, 200, 101.2654
2008-05-19 10:47:27.5, 89.38344, 7.587703, 200, 101.2639
2008-05-19 10:47:37.6, 89.44978, 7.584464, 200, 101.2625
2008-05-19 10:47:47.7, 89.03551, 7.60474, 200, 101.2637
2008-05-19 10:47:57.7, 89.15834, 7.598717, 200, 101.2617
