Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-18 08:47:05.9, 91.96064, 7.291168, 200, 101.4231
2008-05-18 08:47:15.9, 91.78272, 7.29947, 200, 101.4236
2008-05-18 08:47:25.9, 91.64008, 7.30614, 200, 101.4233
2008-05-18 08:47:36.0, 91.65952, 7.30523, 200, 101.4216
2008-05-18 08:47:46.1, 91.79302, 7.298989, 200, 101.4233
2008-05-18 08:47:56.1, 91.43491, 7.315755, 200, 101.4253
2008-05-18 08:48:06.2, 91.28286, 7.322897, 200, 101.4253
2008-05-18 08:48:16.3, 91.4585, 7.314648, 200, 101.426
2008-05-18 08:48:26.3, 91.32928, 7.320715, 200, 101.4263
2008-05-18 08:48:36.4, 91.19373, 7.327089, 200, 101.4236
2008-05-18 08:48:46.5, 90.94003, 7.339051, 200, 101.4246
2008-05-18 08:48:56.5, 91.27296, 7.323362, 200, 101.4253
2008-05-18 08:49:06.6, 90.92587, 7.33972, 200, 101.4258
2008-05-18 08:49:16.7, 90.76342, 7.347401, 200, 101.4277
2008-05-18 08:49:26.7, 90.75259, 7.347914, 200, 101.4265
2008-05-18 08:49:36.8, 90.69147, 7.350808, 200, 101.4238
2008-05-18 08:49:46.9, 90.58595, 7.355811, 200, 101.4253
2008-05-18 08:49:57.0, 90.62858, 7.35379, 200, 101.4255
2008-05-18 08:50:07.1, 90.5344, 7.358258, 200, 101.4216
2008-05-18 08:50:17.2, 90.28526, 7.370104, 200, 101.4229
2008-05-18 08:50:27.2, 90.36179, 7.36646, 200, 101.4224
2008-05-18 08:50:37.3, 90.23803, 7.372355, 200, 101.4209
2008-05-18 08:50:47.4, 90.05541, 7.381066, 200, 101.4214
2008-05-18 08:50:57.4, 90.13071, 7.377472, 200, 101.4211
2008-05-18 08:51:07.5, 89.88804, 7.389071, 200, 101.4189
2008-05-18 08:51:17.6, 89.84365, 7.391196, 200, 101.4221
2008-05-18 08:51:27.7, 89.77264, 7.394598, 200, 101.4226
2008-05-18 08:51:37.8, 89.77699, 7.394391, 200, 101.4207
2008-05-18 08:51:47.9, 89.77578, 7.394448, 200, 101.4224
2008-05-18 08:51:57.9, 89.84953, 7.390914, 200, 101.4209
2008-05-18 08:52:08.0, 89.54211, 7.405668, 200, 101.4221
2008-05-18 08:52:18.1, 89.50738, 7.407338, 200, 101.4202
2008-05-18 08:52:28.1, 89.35229, 7.414806, 200, 101.4214
2008-05-18 08:52:38.2, 89.18804, 7.422732, 200, 101.4229
2008-05-18 08:52:48.3, 89.38049, 7.413447, 200, 101.4214
2008-05-18 08:52:58.3, 88.88541, 7.437381, 200, 101.4219
2008-05-18 08:53:08.4, 89.2645, 7.41904, 200, 101.4224
2008-05-18 08:53:18.5, 88.76318, 7.443314, 200, 101.4221
2008-05-18 08:53:28.5, 89.08494, 7.427716, 200, 101.4282
2008-05-18 08:53:38.6, 88.90551, 7.436406, 200, 101.4268
2008-05-18 08:53:48.7, 88.92382, 7.435518, 200, 101.4238
2008-05-18 08:53:58.7, 88.57188, 7.452618, 200, 101.4219
2008-05-18 08:54:08.8, 88.76022, 7.443458, 200, 101.4231
2008-05-18 08:54:18.8, 88.49534, 7.456347, 200, 101.4207
2008-05-18 08:54:28.9, 88.76769, 7.443094, 200, 101.4194
2008-05-18 08:54:39.0, 88.29395, 7.466177, 200, 101.4207
2008-05-18 08:54:49.1, 88.26987, 7.467354, 200, 101.4204
2008-05-18 08:54:59.1, 88.23478, 7.46907, 200, 101.4214
2008-05-18 08:55:09.2, 88.18137, 7.471683, 200, 101.4199
2008-05-18 08:55:19.3, 87.98768, 7.481177, 200, 101.4189
2008-05-18 08:55:29.3, 88.07078, 7.477101, 200, 101.4219
2008-05-18 08:55:39.4, 88.02563, 7.479315, 200, 101.4221
2008-05-18 08:55:49.5, 87.87327, 7.486794, 200, 101.4197
2008-05-18 08:55:59.5, 87.91389, 7.484799, 200, 101.4194
2008-05-18 08:56:09.6, 87.65214, 7.497678, 200, 101.4209
2008-05-18 08:56:19.7, 87.73533, 7.49358, 200, 101.4197
2008-05-18 08:56:29.7, 87.79296, 7.490744, 200, 101.4185
2008-05-18 08:56:39.8, 87.67312, 7.496644, 200, 101.4185
2008-05-18 08:56:49.9, 87.63754, 7.498398, 200, 101.4189
2008-05-18 08:56:59.9, 87.26684, 7.516717, 200, 101.4194
2008-05-18 08:57:10.0, 87.23847, 7.518123, 200, 101.4229
2008-05-18 08:57:20.0, 87.4643, 7.506948, 200, 101.4189
2008-05-18 08:57:30.0, 87.21738, 7.519168, 200, 101.4207
2008-05-18 08:57:40.1, 87.36246, 7.511982, 200, 101.4211
2008-05-18 08:57:50.2, 87.09469, 7.525255, 200, 101.4209
2008-05-18 08:58:00.2, 87.01252, 7.529337, 200, 101.4204
2008-05-18 08:58:10.3, 87.06059, 7.526948, 200, 101.4192
2008-05-18 08:58:20.4, 86.90568, 7.534652, 200, 101.418
2008-05-18 08:58:30.4, 86.6914, 7.545333, 200, 101.4216
2008-05-18 08:58:40.5, 86.71568, 7.544121, 200, 101.4202
2008-05-18 08:58:50.5, 86.68166, 7.545819, 200, 101.4216
2008-05-18 08:59:00.6, 86.59208, 7.550293, 200, 101.4211
2008-05-18 08:59:10.7, 86.60889, 7.549453, 200, 101.4204
2008-05-18 08:59:20.8, 86.58543, 7.550626, 200, 101.4177
2008-05-18 08:59:30.8, 86.3017, 7.564836, 200, 101.4197
2008-05-18 08:59:40.9, 86.31257, 7.56429, 200, 101.4182
