Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-18 07:13:11.3, 82.8689, 7.741091, 200, 101.3975
2008-05-18 07:13:21.3, 82.65832, 7.752171, 200, 101.3977
2008-05-18 07:13:31.4, 82.50632, 7.760188, 200, 101.3962
2008-05-18 07:13:41.5, 82.31898, 7.770092, 200, 101.3972
2008-05-18 07:13:51.5, 82.26046, 7.773191, 200, 101.3992
2008-05-18 07:14:01.6, 82.29331, 7.771451, 200, 101.3987
2008-05-18 07:14:11.7, 81.6871, 7.803686, 200, 101.3987
2008-05-18 07:14:21.7, 81.74729, 7.800473, 200, 101.3999
2008-05-18 07:14:31.8, 81.64886, 7.805728, 200, 101.3975
2008-05-18 07:14:41.9, 81.58567, 7.809105, 200, 101.3997
2008-05-18 07:14:51.9, 81.42199, 7.817866, 200, 101.3994
2008-05-18 07:15:02.0, 81.29371, 7.824747, 200, 101.3994
2008-05-18 07:15:12.1, 81.02331, 7.839289, 200, 101.3979
2008-05-18 07:15:22.1, 80.89436, 7.846244, 200, 101.3997
2008-05-18 07:15:32.2, 80.7013, 7.856679, 200, 101.3992
2008-05-18 07:15:42.2, 80.58376, 7.863045, 200, 101.4004
2008-05-18 07:15:52.4, 80.54562, 7.865114, 200, 101.4006
2008-05-18 07:16:02.4, 80.35912, 7.875242, 200, 101.3999
2008-05-18 07:16:12.5, 80.42641, 7.871585, 200, 101.3992
2008-05-18 07:16:22.5, 79.92295, 7.899031, 200, 101.3977
