Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-17 23:42:13.7, 88.98956, 7.432333, 200, 101.1731
2008-05-17 23:42:23.8, 88.73444, 7.444709, 200, 101.1721
2008-05-17 23:42:33.9, 88.81889, 7.440609, 200, 101.1702
2008-05-17 23:42:43.9, 88.59808, 7.451343, 200, 101.1702
2008-05-17 23:42:54.0, 88.75938, 7.443498, 200, 101.1721
2008-05-17 23:43:04.1, 88.83486, 7.439834, 200, 101.1702
2008-05-17 23:43:14.2, 88.77233, 7.442869, 200, 101.1719
2008-05-17 23:43:24.2, 88.50214, 7.456015, 200, 101.1743
2008-05-17 23:43:34.3, 88.63868, 7.449367, 200, 101.1736
2008-05-17 23:43:44.4, 88.411, 7.460461, 200, 101.1736
2008-05-17 23:43:54.4, 88.45628, 7.458252, 200, 101.1714
2008-05-17 23:44:04.5, 88.38084, 7.461933, 200, 101.1704
2008-05-17 23:44:14.5, 88.30619, 7.465579, 200, 101.1704
2008-05-17 23:44:24.6, 88.32829, 7.464499, 200, 101.1714
2008-05-17 23:44:34.7, 88.18813, 7.471353, 200, 101.1714
2008-05-17 23:44:44.7, 88.20242, 7.470653, 200, 101.1667
2008-05-17 23:44:54.8, 88.12084, 7.474648, 200, 101.1648
2008-05-17 23:45:04.9, 88.0366, 7.478776, 200, 101.1641
2008-05-17 23:45:14.9, 87.97092, 7.481999, 200, 101.1663
2008-05-17 23:45:25.0, 88.03983, 7.478618, 200, 101.1753
2008-05-17 23:45:35.1, 87.94982, 7.483035, 200, 101.1782
2008-05-17 23:45:45.1, 88.1009, 7.475624, 200, 101.1782
2008-05-17 23:45:55.2, 88.03921, 7.478649, 200, 101.1726
2008-05-17 23:46:05.3, 87.72726, 7.493978, 200, 101.1694
2008-05-17 23:46:15.3, 87.81629, 7.489595, 200, 101.1687
2008-05-17 23:46:25.4, 87.96914, 7.482087, 200, 101.1638
2008-05-17 23:46:35.5, 87.87101, 7.486906, 200, 101.1655
2008-05-17 23:46:45.5, 87.68368, 7.496124, 200, 101.1638
2008-05-17 23:46:55.6, 87.58941, 7.500772, 200, 101.166
2008-05-17 23:47:05.7, 87.58694, 7.500893, 200, 101.1655
2008-05-17 23:47:15.7, 87.64117, 7.498219, 200, 101.1687
2008-05-17 23:47:25.8, 87.52438, 7.503981, 200, 101.1714
