Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-17 12:38:05.8, 101.6083, 6.977962, 200, 101.2632
2008-05-17 12:38:15.9, 101.518, 6.98173, 200, 101.2639
2008-05-17 12:38:25.9, 101.6331, 6.976926, 200, 101.2612
2008-05-17 12:38:36.0, 101.5333, 6.981092, 200, 101.261
2008-05-17 12:38:46.1, 101.8252, 6.968924, 200, 101.261
2008-05-17 12:38:56.1, 101.6191, 6.97751, 200, 101.2617
2008-05-17 12:39:06.2, 101.4142, 6.986068, 200, 101.2605
2008-05-17 12:39:16.2, 101.6038, 6.978147, 200, 101.2612
2008-05-17 12:39:26.3, 101.4842, 6.983142, 200, 101.2573
2008-05-17 12:39:36.4, 101.7487, 6.972107, 200, 101.2576
2008-05-17 12:39:46.5, 101.7847, 6.970608, 200, 101.2556
2008-05-17 12:39:56.5, 101.7815, 6.970742, 200, 101.2534
2008-05-17 12:40:06.6, 101.6514, 6.976162, 200, 101.2554
2008-05-17 12:40:16.7, 101.6125, 6.977786, 200, 101.2581
2008-05-17 12:40:26.7, 101.4161, 6.985986, 200, 101.2588
2008-05-17 12:40:36.8, 101.5695, 6.97958, 200, 101.2568
2008-05-17 12:40:46.9, 101.8227, 6.969028, 200, 101.2583
2008-05-17 12:40:56.9, 101.8122, 6.969462, 200, 101.2561
2008-05-17 12:41:07.0, 101.6373, 6.976752, 200, 101.2566
2008-05-17 12:41:17.0, 101.4867, 6.983036, 200, 101.2576
2008-05-17 12:41:27.1, 101.5913, 6.978669, 200, 101.2568
2008-05-17 12:41:37.2, 101.547, 6.980518, 200, 101.2568
2008-05-17 12:41:47.2, 101.4927, 6.982785, 200, 101.2585
2008-05-17 12:41:57.3, 101.5975, 6.97841, 200, 101.2551
2008-05-17 12:42:07.4, 101.4403, 6.984978, 200, 101.2561
2008-05-17 12:42:17.5, 101.3111, 6.990382, 200, 101.2537
2008-05-17 12:42:27.5, 101.3311, 6.989544, 200, 101.2556
2008-05-17 12:42:37.6, 101.4591, 6.984192, 200, 101.2563
2008-05-17 12:42:47.7, 101.6394, 6.976663, 200, 101.2551
2008-05-17 12:42:57.7, 101.5988, 6.978357, 200, 101.2556
2008-05-17 12:43:07.8, 101.7845, 6.970619, 200, 101.2559
2008-05-17 12:43:17.9, 101.3728, 6.987797, 200, 101.2556
2008-05-17 12:43:28.0, 101.5442, 6.980636, 200, 101.2546
2008-05-17 12:43:38.1, 101.4077, 6.986339, 200, 101.2534
2008-05-17 12:43:48.2, 101.456, 6.984318, 200, 101.2532
2008-05-17 12:43:58.2, 101.5511, 6.980349, 200, 101.2537
2008-05-17 12:44:08.3, 101.8028, 6.969853, 200, 101.2524
2008-05-17 12:44:18.3, 101.353, 6.988627, 200, 101.2542
2008-05-17 12:44:28.4, 101.4914, 6.982842, 200, 101.2539
2008-05-17 12:44:38.5, 101.4682, 6.983809, 200, 101.2556
2008-05-17 12:44:48.6, 101.3888, 6.987129, 200, 101.2549
2008-05-17 12:44:58.7, 101.75, 6.972054, 200, 101.2556
2008-05-17 12:45:08.8, 101.7548, 6.971854, 200, 101.2515
2008-05-17 12:45:18.8, 101.5327, 6.981117, 200, 101.2549
2008-05-17 12:45:28.9, 101.5028, 6.982365, 200, 101.2571
2008-05-17 12:45:39.0, 101.8135, 6.969409, 200, 101.2568
2008-05-17 12:45:49.0, 101.8346, 6.96853, 200, 101.2554
2008-05-17 12:45:59.1, 101.5784, 6.979209, 200, 101.2529
2008-05-17 12:46:09.2, 101.1406, 6.997527, 200, 101.2544
2008-05-17 12:46:19.3, 101.6307, 6.977026, 200, 101.2544
2008-05-17 12:46:29.4, 101.5452, 6.980592, 200, 101.2527
2008-05-17 12:46:39.5, 101.6224, 6.977373, 200, 101.2554
2008-05-17 12:46:49.5, 101.3886, 6.98714, 200, 101.2527
2008-05-17 12:46:59.6, 101.5834, 6.979, 200, 101.2529
2008-05-17 12:47:09.7, 101.6484, 6.97629, 200, 101.2532
2008-05-17 12:47:19.7, 101.3245, 6.989821, 200, 101.2544
2008-05-17 12:47:29.8, 101.5281, 6.981307, 200, 101.2561
2008-05-17 12:47:39.9, 101.5802, 6.979135, 200, 101.2527
2008-05-17 12:47:50.0, 101.5753, 6.979336, 200, 101.2566
2008-05-17 12:48:00.1, 101.5004, 6.982463, 200, 101.2559
2008-05-17 12:48:10.2, 101.1818, 6.995797, 200, 101.2581
2008-05-17 12:48:20.2, 101.6861, 6.974715, 200, 101.259
2008-05-17 12:48:30.3, 101.3711, 6.987871, 200, 101.261
2008-05-17 12:48:40.4, 101.5509, 6.980356, 200, 101.2583
2008-05-17 12:48:50.4, 101.5507, 6.980366, 200, 101.26
2008-05-17 12:49:00.5, 101.4948, 6.982698, 200, 101.2583
2008-05-17 12:49:10.6, 101.6889, 6.974598, 200, 101.261
2008-05-17 12:49:20.7, 101.594, 6.978558, 200, 101.259
2008-05-17 12:49:30.8, 101.5081, 6.982144, 200, 101.2612
2008-05-17 12:49:40.9, 101.9224, 6.96488, 200, 101.2593
2008-05-17 12:49:50.9, 101.5321, 6.981141, 200, 101.2595
2008-05-17 12:50:01.0, 101.6819, 6.97489, 200, 101.262
2008-05-17 12:50:11.1, 101.7213, 6.973249, 200, 101.2617
2008-05-17 12:50:21.1, 101.771, 6.97118, 200, 101.2617
2008-05-17 12:50:31.2, 101.4381, 6.985067, 200, 101.2629
2008-05-17 12:50:41.3, 101.8757, 6.966823, 200, 101.2637
2008-05-17 12:50:51.3, 101.271, 6.992061, 200, 101.2632
2008-05-17 12:51:01.4, 101.7943, 6.970207, 200, 101.2607
2008-05-17 12:51:11.5, 101.7198, 6.973313, 200, 101.2651
2008-05-17 12:51:21.5, 101.6066, 6.97803, 200, 101.2656
2008-05-17 12:51:31.6, 101.5407, 6.98078, 200, 101.2651
2008-05-17 12:51:41.7, 101.5891, 6.97876, 200, 101.2676
2008-05-17 12:51:51.7, 101.299, 6.99089, 200, 101.2654
2008-05-17 12:52:01.8, 101.3894, 6.987105, 200, 101.2642
2008-05-17 12:52:11.9, 101.4352, 6.985189, 200, 101.2639
2008-05-17 12:52:21.9, 101.2818, 6.991608, 200, 101.2627
2008-05-17 12:52:32.0, 101.4239, 6.985662, 200, 101.2598
2008-05-17 12:52:42.1, 101.8428, 6.968192, 200, 101.26
2008-05-17 12:52:52.1, 101.6719, 6.97531, 200, 101.2598
2008-05-17 12:53:02.2, 101.5716, 6.97949, 200, 101.26
2008-05-17 12:53:12.3, 101.6558, 6.975979, 200, 101.2617
2008-05-17 12:53:22.3, 101.684, 6.974803, 200, 101.2605
2008-05-17 12:53:32.4, 101.3551, 6.988539, 200, 101.2607
2008-05-17 12:53:42.5, 101.7338, 6.972729, 200, 101.2634
2008-05-17 12:53:52.6, 101.4529, 6.98445, 200, 101.26
2008-05-17 12:54:02.7, 101.2383, 6.99343, 200, 101.2622
2008-05-17 12:54:12.8, 101.3194, 6.990033, 200, 101.2629
2008-05-17 12:54:22.8, 101.6614, 6.975745, 200, 101.262
2008-05-17 12:54:32.9, 101.3223, 6.989912, 200, 101.2605
2008-05-17 12:54:43.0, 101.6703, 6.975374, 200, 101.2612
2008-05-17 12:54:53.0, 101.6229, 6.977353, 200, 101.26
2008-05-17 12:55:03.1, 101.2936, 6.991112, 200, 101.2593
2008-05-17 12:55:13.2, 101.4725, 6.983629, 200, 101.2607
2008-05-17 12:55:23.2, 101.546, 6.980559, 200, 101.259
2008-05-17 12:55:33.3, 101.7819, 6.970727, 200, 101.2612
2008-05-17 12:55:43.4, 101.3506, 6.988728, 200, 101.2598
2008-05-17 12:55:53.4, 101.5426, 6.980704, 200, 101.2598
2008-05-17 12:56:03.5, 101.7199, 6.973309, 200, 101.259
2008-05-17 12:56:13.6, 101.4552, 6.984355, 200, 101.259
2008-05-17 12:56:23.6, 101.8173, 6.969252, 200, 101.2593
2008-05-17 12:56:33.7, 101.6633, 6.975665, 200, 101.2578
2008-05-17 12:56:43.8, 101.3164, 6.990161, 200, 101.2625
2008-05-17 12:56:53.8, 101.4246, 6.985631, 200, 101.2629
2008-05-17 12:57:03.9, 101.6007, 6.97828, 200, 101.2627
2008-05-17 12:57:14.0, 101.393, 6.986952, 200, 101.262
2008-05-17 12:57:24.0, 101.6813, 6.974915, 200, 101.2607
2008-05-17 12:57:34.1, 101.4448, 6.98479, 200, 101.2603
2008-05-17 12:57:44.2, 101.327, 6.989717, 200, 101.2588
2008-05-17 12:57:54.2, 101.6727, 6.975273, 200, 101.2612
2008-05-17 12:58:04.3, 101.5903, 6.97871, 200, 101.2612
2008-05-17 12:58:14.4, 101.4478, 6.984662, 200, 101.2627
2008-05-17 12:58:24.4, 101.5381, 6.980889, 200, 101.2644
2008-05-17 12:58:34.5, 101.2234, 6.994055, 200, 101.2629
2008-05-17 12:58:44.6, 101.3294, 6.989616, 200, 101.2649
2008-05-17 12:58:54.6, 101.6634, 6.975663, 200, 101.2639
2008-05-17 12:59:04.7, 101.5585, 6.980039, 200, 101.2651
2008-05-17 12:59:14.7, 101.5559, 6.980145, 200, 101.2634
2008-05-17 12:59:24.8, 101.418, 6.985907, 200, 101.2661
2008-05-17 12:59:34.9, 101.6972, 6.974255, 200, 101.2637
2008-05-17 12:59:45.0, 101.5712, 6.979507, 200, 101.2646
2008-05-17 12:59:55.0, 101.4711, 6.983689, 200, 101.2693
2008-05-17 13:00:05.1, 101.6762, 6.975129, 200, 101.2673
2008-05-17 13:00:15.2, 101.3276, 6.98969, 200, 101.2642
2008-05-17 13:00:25.2, 101.4981, 6.982562, 200, 101.2671
2008-05-17 13:00:35.3, 101.3858, 6.987254, 200, 101.2639
2008-05-17 13:00:45.4, 101.4181, 6.985906, 200, 101.2671
2008-05-17 13:00:55.4, 101.2418, 6.993285, 200, 101.2639
2008-05-17 13:01:05.4, 101.2419, 6.993281, 200, 101.2649
2008-05-17 13:01:15.5, 101.3669, 6.988046, 200, 101.2639
2008-05-17 13:01:25.5, 101.3933, 6.98694, 200, 101.2668
