Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-17 08:26:57.3, 99.96046, 7.047391, 200, 101.2646
2008-05-17 08:27:07.5, 100.4207, 7.027862, 200, 101.2656
2008-05-17 08:27:17.5, 100.5352, 7.023019, 200, 101.2625
2008-05-17 08:27:27.5, 99.91616, 7.049276, 200, 101.2666
2008-05-17 08:27:37.6, 100.4429, 7.026923, 200, 101.2659
2008-05-17 08:27:47.7, 100.1891, 7.037673, 200, 101.2625
2008-05-17 08:27:57.7, 99.85236, 7.051994, 200, 101.2639
2008-05-17 08:28:07.7, 99.92086, 7.049077, 200, 101.2649
2008-05-17 08:28:17.8, 99.92318, 7.048978, 200, 101.2642
2008-05-17 08:28:27.8, 99.93154, 7.048622, 200, 101.2622
2008-05-17 08:28:37.9, 100.0698, 7.042742, 200, 101.2649
2008-05-17 08:28:48.0, 100.0083, 7.045354, 200, 101.2627
2008-05-17 08:28:58.0, 99.60368, 7.062606, 200, 101.2637
2008-05-17 08:29:08.1, 99.97723, 7.046678, 200, 101.2634
2008-05-17 08:29:18.2, 99.84115, 7.052472, 200, 101.2627
2008-05-17 08:29:28.2, 99.98037, 7.046544, 200, 101.2629
2008-05-17 08:29:38.3, 99.81083, 7.053764, 200, 101.2639
2008-05-17 08:29:48.4, 99.96268, 7.047297, 200, 101.2617
2008-05-17 08:29:58.4, 99.98528, 7.046335, 200, 101.2632
2008-05-17 08:30:08.5, 99.8449, 7.052312, 200, 101.2598
2008-05-17 08:30:18.6, 99.85854, 7.051731, 200, 101.26
2008-05-17 08:30:28.6, 99.8883, 7.050463, 200, 101.26
2008-05-17 08:30:38.7, 99.50454, 7.066846, 200, 101.2603
2008-05-17 08:30:48.8, 99.76373, 7.055773, 200, 101.2598
2008-05-17 08:30:58.8, 99.4898, 7.067476, 200, 101.2605
2008-05-17 08:31:08.9, 99.58308, 7.063487, 200, 101.2612
2008-05-17 08:31:19.0, 99.32027, 7.074739, 200, 101.2605
2008-05-17 08:31:29.0, 99.57136, 7.063988, 200, 101.2598
2008-05-17 08:31:39.1, 99.96633, 7.047141, 200, 101.26
2008-05-17 08:31:49.2, 99.69053, 7.058897, 200, 101.2637
2008-05-17 08:31:59.2, 99.57861, 7.063678, 200, 101.2603
2008-05-17 08:32:09.3, 99.55839, 7.064542, 200, 101.2627
2008-05-17 08:32:19.4, 99.53417, 7.065578, 200, 101.2612
2008-05-17 08:32:29.4, 99.81287, 7.053677, 200, 101.2612
2008-05-17 08:32:39.5, 99.70376, 7.058331, 200, 101.26
2008-05-17 08:32:49.7, 99.716, 7.057809, 200, 101.2617
2008-05-17 08:32:59.7, 99.38401, 7.072007, 200, 101.2612
2008-05-17 08:33:09.8, 99.3126, 7.075068, 200, 101.2605
2008-05-17 08:33:19.9, 99.2071, 7.079596, 200, 101.2593
