Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-16 01:12:12.4, 102.9391, 6.922879, 200, 100.9778
2008-05-16 01:12:22.4, 102.5623, 6.938385, 200, 100.9783
2008-05-16 01:12:32.7, 102.0642, 6.958994, 200, 100.979
2008-05-16 01:12:42.7, 102.2367, 6.951843, 200, 100.979
2008-05-16 01:12:52.7, 101.9668, 6.963034, 200, 100.9814
2008-05-16 01:13:02.8, 102.6842, 6.933363, 200, 100.9829
2008-05-16 01:13:12.9, 102.2997, 6.949233, 200, 100.9783
2008-05-16 01:13:23.0, 102.0895, 6.957942, 200, 100.9814
2008-05-16 01:13:33.0, 102.1202, 6.956668, 200, 100.9836
2008-05-16 01:13:43.0, 102.4885, 6.941431, 200, 100.9839
2008-05-16 01:13:53.0, 102.1583, 6.95509, 200, 100.9844
2008-05-16 01:14:03.2, 101.913, 6.965272, 200, 100.9861
2008-05-16 01:14:13.2, 102.3242, 6.948223, 200, 100.9849
2008-05-16 01:14:23.3, 102.0286, 6.960467, 200, 100.9844
2008-05-16 01:14:33.3, 102.2939, 6.949473, 200, 100.9856
2008-05-16 01:14:43.4, 102.297, 6.949346, 200, 100.981
2008-05-16 01:14:53.5, 102.098, 6.957589, 200, 100.9849
2008-05-16 01:15:03.5, 102.1524, 6.955336, 200, 100.9866
2008-05-16 01:15:13.6, 102.197, 6.953489, 200, 100.9856
2008-05-16 01:15:23.6, 102.2938, 6.949478, 200, 100.9873
2008-05-16 01:15:33.7, 102.1164, 6.956829, 200, 100.9841
2008-05-16 01:15:43.8, 102.1826, 6.954081, 200, 100.9812
2008-05-16 01:15:53.8, 102.1718, 6.954532, 200, 100.9836
2008-05-16 01:16:03.9, 102.0048, 6.961458, 200, 100.9885
2008-05-16 01:16:14.0, 101.9331, 6.964437, 200, 100.9839
2008-05-16 01:16:24.0, 102.1332, 6.956131, 200, 100.9856
2008-05-16 01:16:34.1, 101.9307, 6.964534, 200, 100.9849
2008-05-16 01:16:44.2, 102.023, 6.960704, 200, 100.9817
2008-05-16 01:16:54.2, 102.1213, 6.956625, 200, 100.9839
2008-05-16 01:17:04.5, 101.8793, 6.966671, 200, 100.9839
2008-05-16 01:17:14.5, 102.148, 6.955515, 200, 100.9863
2008-05-16 01:17:24.5, 101.7812, 6.970756, 200, 100.9844
2008-05-16 01:17:34.5, 101.7405, 6.972447, 200, 100.9856
2008-05-16 01:17:44.5, 102.1011, 6.957462, 200, 100.9846
2008-05-16 01:17:54.5, 102.2241, 6.952363, 200, 100.9871
2008-05-16 01:18:04.5, 102.0552, 6.959365, 200, 100.9895
2008-05-16 01:18:14.6, 101.9821, 6.962399, 200, 100.9878
2008-05-16 01:18:24.7, 101.9791, 6.962527, 200, 100.9893
2008-05-16 01:18:34.7, 102.0706, 6.958727, 200, 100.9856
2008-05-16 01:18:44.8, 101.9973, 6.961768, 200, 100.9897
2008-05-16 01:18:54.8, 102.0946, 6.95773, 200, 100.9878
2008-05-16 01:19:04.9, 102.0052, 6.96144, 200, 100.9866
2008-05-16 01:19:15.0, 102.0813, 6.958282, 200, 100.9863
2008-05-16 01:19:25.0, 101.7309, 6.972851, 200, 100.9893
2008-05-16 01:19:35.1, 102.0738, 6.958594, 200, 100.9912
2008-05-16 01:19:45.2, 102.141, 6.955808, 200, 100.9907
2008-05-16 01:19:55.2, 101.7604, 6.971621, 200, 100.9927
2008-05-16 01:20:05.6, 102.1705, 6.954585, 200, 100.9927
2008-05-16 01:20:15.6, 102.127, 6.956388, 200, 100.9917
2008-05-16 01:20:25.6, 102.0503, 6.959571, 200, 100.9907
2008-05-16 01:20:35.6, 102.024, 6.96066, 200, 100.9937
2008-05-16 01:20:45.7, 101.8653, 6.967255, 200, 100.9949
2008-05-16 01:20:55.7, 102.1837, 6.954036, 200, 100.9951
2008-05-16 01:21:05.8, 101.9126, 6.965287, 200, 100.9966
2008-05-16 01:21:15.9, 102.256, 6.951042, 200, 100.9971
2008-05-16 01:21:25.9, 102.0695, 6.958773, 200, 100.9985
2008-05-16 01:21:36.0, 102.1122, 6.957, 200, 100.9988
2008-05-16 01:21:46.1, 101.9833, 6.96235, 200, 100.9993
2008-05-16 01:21:56.1, 101.4961, 6.982643, 200, 100.9998
2008-05-16 01:22:06.2, 101.8153, 6.969335, 200, 101.0002
2008-05-16 01:22:16.5, 101.8346, 6.968532, 200, 100.9998
2008-05-16 01:22:26.5, 101.8351, 6.968513, 200, 100.9988
2008-05-16 01:22:36.5, 102.0173, 6.960938, 200, 100.9988
2008-05-16 01:22:46.6, 102.1163, 6.956831, 200, 100.9971
2008-05-16 01:22:56.6, 101.7562, 6.971796, 200, 100.9993
2008-05-16 01:23:06.7, 101.7318, 6.972812, 200, 100.9985
2008-05-16 01:23:16.8, 101.8957, 6.965991, 200, 101.0017
2008-05-16 01:23:26.8, 102.1349, 6.95606, 200, 101.0022
2008-05-16 01:23:36.9, 101.9481, 6.963814, 200, 101.0027
2008-05-16 01:23:47.0, 101.7463, 6.972207, 200, 100.9985
2008-05-16 01:23:57.0, 101.503, 6.982356, 200, 101.002
2008-05-16 01:24:07.1, 101.8285, 6.968788, 200, 100.9998
2008-05-16 01:24:17.2, 101.8598, 6.967484, 200, 101.0005
2008-05-16 01:24:27.2, 102.1737, 6.954451, 200, 100.9985
2008-05-16 01:24:37.6, 102.1037, 6.957355, 200, 100.9976
2008-05-16 01:24:47.6, 102.1549, 6.955231, 200, 100.9946
2008-05-16 01:24:57.6, 101.9528, 6.96362, 200, 100.9929
2008-05-16 01:25:07.6, 102.1671, 6.954724, 200, 100.9949
2008-05-16 01:25:17.7, 101.8422, 6.968216, 200, 100.9954
2008-05-16 01:25:27.7, 101.8567, 6.967613, 200, 100.9976
2008-05-16 01:25:37.8, 101.992, 6.96199, 200, 100.9954
2008-05-16 01:25:47.9, 101.962, 6.963237, 200, 100.9956
2008-05-16 01:25:57.9, 102.0223, 6.960732, 200, 100.9961
2008-05-16 01:26:08.0, 101.7645, 6.971448, 200, 100.9941
2008-05-16 01:26:18.1, 101.5896, 6.978742, 200, 100.9919
2008-05-16 01:26:28.1, 101.8666, 6.967202, 200, 100.9929
2008-05-16 01:26:38.2, 101.882, 6.96656, 200, 100.9922
2008-05-16 01:26:48.3, 101.9178, 6.965074, 200, 100.9924
2008-05-16 01:26:58.5, 101.9332, 6.964431, 200, 100.9922
2008-05-16 01:27:08.5, 102.178, 6.954272, 200, 100.9888
2008-05-16 01:27:18.5, 101.898, 6.965894, 200, 100.9927
2008-05-16 01:27:28.5, 101.7658, 6.971395, 200, 100.9905
2008-05-16 01:27:38.5, 101.8001, 6.969968, 200, 100.9912
2008-05-16 01:27:48.5, 101.9549, 6.963529, 200, 100.9954
2008-05-16 01:27:58.5, 101.7136, 6.973568, 200, 100.9905
2008-05-16 01:28:08.6, 102.1363, 6.956002, 200, 100.991
2008-05-16 01:28:18.7, 102.0577, 6.959263, 200, 100.9902
2008-05-16 01:28:28.7, 101.88, 6.966645, 200, 100.9922
2008-05-16 01:28:38.8, 101.5334, 6.981089, 200, 100.9922
2008-05-16 01:28:48.9, 101.9374, 6.964257, 200, 100.9927
2008-05-16 01:28:58.9, 101.8193, 6.969167, 200, 100.9917
2008-05-16 01:29:09.0, 102.1471, 6.955553, 200, 100.9915
2008-05-16 01:29:19.0, 101.7588, 6.971686, 200, 100.9927
2008-05-16 01:29:29.1, 101.9542, 6.963561, 200, 100.9927
2008-05-16 01:29:39.2, 101.7786, 6.970865, 200, 100.991
2008-05-16 01:29:49.3, 101.5453, 6.980591, 200, 100.9917
2008-05-16 01:29:59.6, 101.7387, 6.972524, 200, 100.9912
2008-05-16 01:30:09.6, 101.6296, 6.977072, 200, 100.9895
2008-05-16 01:30:19.6, 101.7236, 6.973154, 200, 100.988
2008-05-16 01:30:29.6, 101.6928, 6.974439, 200, 100.99
2008-05-16 01:30:39.7, 102.0738, 6.958592, 200, 100.9897
2008-05-16 01:30:49.7, 101.731, 6.972845, 200, 100.9917
2008-05-16 01:30:59.8, 101.7632, 6.971503, 200, 100.9905
2008-05-16 01:31:09.9, 101.5752, 6.97934, 200, 100.9912
2008-05-16 01:31:20.0, 101.9737, 6.962751, 200, 100.9875
2008-05-16 01:31:30.0, 101.7817, 6.970732, 200, 100.9895
2008-05-16 01:31:40.1, 101.8292, 6.968755, 200, 100.9919
2008-05-16 01:31:50.1, 101.6612, 6.975752, 200, 100.9946
2008-05-16 01:32:00.2, 101.8532, 6.967756, 200, 100.9917
2008-05-16 01:32:10.6, 101.9337, 6.964412, 200, 100.9919
2008-05-16 01:32:20.6, 101.6828, 6.974852, 200, 100.988
2008-05-16 01:32:30.6, 101.8954, 6.966003, 200, 100.989
2008-05-16 01:32:40.7, 101.7746, 6.97103, 200, 100.9912
2008-05-16 01:32:50.7, 101.5173, 6.981758, 200, 100.9905
2008-05-16 01:33:00.8, 101.6232, 6.977337, 200, 100.9888
2008-05-16 01:33:10.9, 101.6799, 6.974973, 200, 100.9895
2008-05-16 01:33:21.0, 101.2849, 6.991477, 200, 100.9897
2008-05-16 01:33:31.0, 101.398, 6.986745, 200, 100.9878
2008-05-16 01:33:41.1, 101.6144, 6.977705, 200, 100.9873
2008-05-16 01:33:51.2, 101.7391, 6.972507, 200, 100.9851
2008-05-16 01:34:01.2, 101.444, 6.984822, 200, 100.9841
2008-05-16 01:34:11.3, 102.0053, 6.961437, 200, 100.9856
2008-05-16 01:34:21.5, 101.8221, 6.969053, 200, 100.9863
2008-05-16 01:34:31.5, 101.5799, 6.979145, 200, 100.9875
2008-05-16 01:34:41.5, 101.6127, 6.977777, 200, 100.9858
