Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-16 02:36:10.6, 97.26394, 7.164037, 200, 101.0212
2008-05-16 02:36:20.7, 97.20258, 7.166736, 200, 101.0171
2008-05-16 02:36:30.9, 97.07958, 7.172153, 200, 101.0203
2008-05-16 02:36:40.9, 97.00494, 7.175444, 200, 101.02
2008-05-16 02:36:50.9, 96.96598, 7.177164, 200, 101.0244
2008-05-16 02:37:00.9, 97.09069, 7.171664, 200, 101.0244
2008-05-16 02:37:10.9, 97.10557, 7.171008, 200, 101.0222
2008-05-16 02:37:20.9, 96.95702, 7.177558, 200, 101.0225
2008-05-16 02:37:31.0, 96.71009, 7.188475, 200, 101.0205
2008-05-16 02:37:41.1, 96.92817, 7.178833, 200, 101.0188
2008-05-16 02:37:51.1, 97.07058, 7.17255, 200, 101.0203
2008-05-16 02:38:01.2, 96.84611, 7.182457, 200, 101.0193
2008-05-16 02:38:11.3, 96.78103, 7.185336, 200, 101.0217
2008-05-16 02:38:21.3, 96.60497, 7.193132, 200, 101.0239
2008-05-16 02:38:31.4, 96.48711, 7.198361, 200, 101.022
2008-05-16 02:38:41.5, 96.68859, 7.189427, 200, 101.021
2008-05-16 02:38:51.5, 96.61152, 7.192842, 200, 101.0181
2008-05-16 02:39:01.6, 96.37705, 7.20325, 200, 101.0181
2008-05-16 02:39:11.7, 96.70266, 7.188804, 200, 101.0188
2008-05-16 02:39:21.8, 96.40093, 7.202188, 200, 101.0164
2008-05-16 02:39:31.8, 96.41581, 7.201528, 200, 101.0151
2008-05-16 02:39:41.9, 96.5862, 7.193964, 200, 101.0149
2008-05-16 02:39:51.9, 96.10526, 7.215353, 200, 101.0139
2008-05-16 02:40:02.0, 96.21853, 7.210305, 200, 101.0129
2008-05-16 02:40:12.1, 96.17635, 7.212183, 200, 101.012
2008-05-16 02:40:22.1, 96.18223, 7.211922, 200, 101.0127
2008-05-16 02:40:32.2, 95.9455, 7.222487, 200, 101.0144
2008-05-16 02:40:42.3, 96.20487, 7.210913, 200, 101.0146
2008-05-16 02:40:52.3, 96.05015, 7.217813, 200, 101.0166
2008-05-16 02:41:02.4, 96.04116, 7.218214, 200, 101.0137
2008-05-16 02:41:12.5, 95.9488, 7.22234, 200, 101.0166
2008-05-16 02:41:22.5, 95.78266, 7.229772, 200, 101.0183
2008-05-16 02:41:32.6, 95.68957, 7.233944, 200, 101.0173
2008-05-16 02:41:42.7, 96.06055, 7.217348, 200, 101.0181
2008-05-16 02:41:52.7, 95.72497, 7.232357, 200, 101.0176
2008-05-16 02:42:03.0, 95.5505, 7.240184, 200, 101.0127
2008-05-16 02:42:13.0, 95.85554, 7.22651, 200, 101.0168
2008-05-16 02:42:23.0, 95.9634, 7.221687, 200, 101.0164
2008-05-16 02:42:33.1, 95.82848, 7.227721, 200, 101.0188
2008-05-16 02:42:43.2, 95.89231, 7.224865, 200, 101.0181
2008-05-16 02:42:53.2, 95.501, 7.242409, 200, 101.0193
2008-05-16 02:43:03.3, 95.49622, 7.242623, 200, 101.0176
2008-05-16 02:43:13.4, 95.40743, 7.246616, 200, 101.0164
2008-05-16 02:43:23.4, 95.51199, 7.241915, 200, 101.0161
2008-05-16 02:43:33.5, 95.2001, 7.255957, 200, 101.0137
2008-05-16 02:43:43.6, 95.37972, 7.247863, 200, 101.0139
2008-05-16 02:43:53.6, 95.41142, 7.246437, 200, 101.0134
2008-05-16 02:44:03.7, 95.11272, 7.2599, 200, 101.0139
2008-05-16 02:44:13.7, 95.26902, 7.252849, 200, 101.0117
2008-05-16 02:44:23.9, 95.14071, 7.258637, 200, 101.0115
2008-05-16 02:44:33.9, 95.07714, 7.261508, 200, 101.0156
2008-05-16 02:44:43.9, 95.00443, 7.264794, 200, 101.0144
2008-05-16 02:44:53.9, 94.9764, 7.266062, 200, 101.0134
2008-05-16 02:45:03.9, 94.80857, 7.273661, 200, 101.0159
2008-05-16 02:45:13.9, 94.75199, 7.276227, 200, 101.0137
2008-05-16 02:45:23.9, 95.18185, 7.25678, 200, 101.0151
2008-05-16 02:45:34.0, 94.92536, 7.268371, 200, 101.0122
2008-05-16 02:45:44.0, 95.08813, 7.261011, 200, 101.0168
2008-05-16 02:45:54.0, 94.93958, 7.267727, 200, 101.0164
2008-05-16 02:46:04.1, 94.65218, 7.280757, 200, 101.0159
2008-05-16 02:46:14.1, 94.59251, 7.283469, 200, 101.0139
2008-05-16 02:46:24.1, 94.74784, 7.276415, 200, 101.0156
2008-05-16 02:46:34.1, 94.5826, 7.283918, 200, 101.0173
2008-05-16 02:46:44.1, 94.4898, 7.288139, 200, 101.0161
2008-05-16 02:46:54.1, 94.40548, 7.291979, 200, 101.0173
2008-05-16 02:47:04.1, 94.36338, 7.293898, 200, 101.019
2008-05-16 02:47:14.2, 94.7273, 7.277347, 200, 101.02
2008-05-16 02:47:24.2, 94.33318, 7.295275, 200, 101.0217
2008-05-16 02:47:34.3, 94.45591, 7.289683, 200, 101.0212
2008-05-16 02:47:44.4, 94.49905, 7.28772, 200, 101.0208
2008-05-16 02:47:54.4, 94.35267, 7.294386, 200, 101.022
2008-05-16 02:48:04.5, 94.38567, 7.292882, 200, 101.0183
2008-05-16 02:48:14.6, 94.19097, 7.301765, 200, 101.0195
2008-05-16 02:48:24.6, 94.52419, 7.286575, 200, 101.0203
2008-05-16 02:48:34.7, 94.07723, 7.306965, 200, 101.0215
2008-05-16 02:48:44.7, 94.05965, 7.307769, 200, 101.0217
2008-05-16 02:48:54.8, 94.02599, 7.309309, 200, 101.021
2008-05-16 02:49:04.9, 93.84768, 7.317481, 200, 101.0222
2008-05-16 02:49:15.0, 94.21485, 7.300674, 200, 101.02
2008-05-16 02:49:25.1, 93.88813, 7.315626, 200, 101.0195
2008-05-16 02:49:35.1, 93.90965, 7.314639, 200, 101.0168
2008-05-16 02:49:45.1, 94.014, 7.309859, 200, 101.0203
2008-05-16 02:49:55.1, 93.71828, 7.323421, 200, 101.0193
2008-05-16 02:50:05.1, 93.92889, 7.313757, 200, 101.022
2008-05-16 02:50:15.1, 93.51403, 7.33282, 200, 101.0222
2008-05-16 02:50:25.2, 93.56661, 7.330399, 200, 101.0232
2008-05-16 02:50:35.2, 93.67484, 7.325419, 200, 101.0232
2008-05-16 02:50:45.2, 93.71221, 7.323701, 200, 101.0251
2008-05-16 02:50:55.2, 93.36521, 7.339683, 200, 101.0237
2008-05-16 02:51:05.2, 93.60961, 7.328419, 200, 101.0234
2008-05-16 02:51:15.2, 93.36425, 7.339727, 200, 101.0215
2008-05-16 02:51:25.2, 93.41616, 7.337331, 200, 101.0256
2008-05-16 02:51:35.2, 93.34289, 7.340713, 200, 101.0227
2008-05-16 02:51:45.2, 93.19501, 7.347547, 200, 101.0232
