Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-18 07:39:19.0, 91.40557, 7.317132, 200, 101.4155
2008-05-18 07:39:29.0, 91.15961, 7.328696, 200, 101.4155
2008-05-18 07:39:39.0, 91.05421, 7.333663, 200, 101.416
2008-05-18 07:39:49.1, 91.15136, 7.329085, 200, 101.4165
2008-05-18 07:39:59.2, 90.79212, 7.346043, 200, 101.4189
2008-05-18 07:40:09.3, 91.06728, 7.333046, 200, 101.4172
2008-05-18 07:40:19.3, 90.85644, 7.343002, 200, 101.4182
2008-05-18 07:40:29.4, 90.46049, 7.361768, 200, 101.4219
2008-05-18 07:40:39.4, 90.28748, 7.369998, 200, 101.4207
2008-05-18 07:40:49.5, 90.41099, 7.364121, 200, 101.4233
2008-05-18 07:40:59.6, 90.04565, 7.381533, 200, 101.4241
2008-05-18 07:41:09.7, 89.91994, 7.387543, 200, 101.4209
2008-05-18 07:41:19.7, 89.86971, 7.389948, 200, 101.4243
2008-05-18 07:41:29.8, 89.67521, 7.399273, 200, 101.4219
2008-05-18 07:41:39.9, 89.52631, 7.406426, 200, 101.4185
2008-05-18 07:41:49.9, 89.78919, 7.393806, 200, 101.4226
2008-05-18 07:42:00.0, 89.66544, 7.399742, 200, 101.4216
2008-05-18 07:42:10.1, 89.31127, 7.416785, 200, 101.4182
2008-05-18 07:42:20.2, 89.20402, 7.421961, 200, 101.4143
2008-05-18 07:42:30.3, 89.06915, 7.428481, 200, 101.416
2008-05-18 07:42:40.3, 89.14394, 7.424863, 200, 101.4146
2008-05-18 07:42:50.4, 88.99519, 7.432061, 200, 101.4177
2008-05-18 07:43:00.5, 88.69012, 7.446864, 200, 101.4204
2008-05-18 07:43:10.5, 88.79041, 7.441991, 200, 101.4192
2008-05-18 07:43:20.6, 88.66334, 7.448167, 200, 101.4177
2008-05-18 07:43:30.7, 88.65421, 7.44861, 200, 101.4192
2008-05-18 07:43:40.8, 88.21273, 7.470149, 200, 101.4187
2008-05-18 07:43:50.9, 88.36883, 7.462519, 200, 101.4192
2008-05-18 07:44:01.0, 87.98251, 7.48143, 200, 101.4207
2008-05-18 07:44:11.0, 88.19547, 7.470993, 200, 101.4185
2008-05-18 07:44:21.1, 88.00161, 7.480493, 200, 101.4202
2008-05-18 07:44:31.2, 87.85838, 7.487526, 200, 101.4197
2008-05-18 07:44:41.2, 87.76397, 7.492171, 200, 101.418
2008-05-18 07:44:51.3, 87.76412, 7.492163, 200, 101.4177
2008-05-18 07:45:01.4, 87.58125, 7.501174, 200, 101.4192
2008-05-18 07:45:11.4, 87.27496, 7.516315, 200, 101.417
2008-05-18 07:45:21.5, 87.1899, 7.520531, 200, 101.4177
2008-05-18 07:45:31.6, 87.40653, 7.509803, 200, 101.4172
2008-05-18 07:45:41.6, 87.06596, 7.526682, 200, 101.4219
2008-05-18 07:45:51.7, 87.08784, 7.525595, 200, 101.4207
2008-05-18 07:46:01.8, 87.06928, 7.526517, 200, 101.4219
2008-05-18 07:46:11.9, 86.96404, 7.531748, 200, 101.4211
2008-05-18 07:46:21.9, 86.59995, 7.5499, 200, 101.4231
2008-05-18 07:46:32.0, 86.44184, 7.55781, 200, 101.4241
2008-05-18 07:46:42.0, 86.39979, 7.559916, 200, 101.4231
2008-05-18 07:46:52.1, 86.50079, 7.554859, 200, 101.4255
2008-05-18 07:47:02.2, 86.36944, 7.561438, 200, 101.4248
2008-05-18 07:47:12.2, 86.16268, 7.571817, 200, 101.425
2008-05-18 07:47:22.3, 86.08901, 7.575522, 200, 101.4238
2008-05-18 07:47:32.4, 85.96534, 7.58175, 200, 101.4268
2008-05-18 07:47:42.5, 85.80701, 7.589738, 200, 101.4248
2008-05-18 07:47:52.6, 85.89034, 7.585532, 200, 101.425
2008-05-18 07:48:02.7, 85.72448, 7.593909, 200, 101.425
2008-05-18 07:48:12.7, 85.5335, 7.603578, 200, 101.4277
2008-05-18 07:48:22.8, 85.53848, 7.603325, 200, 101.428
2008-05-18 07:48:32.9, 85.47285, 7.606653, 200, 101.4287
2008-05-18 07:48:43.0, 85.12836, 7.62417, 200, 101.4309
2008-05-18 07:48:53.0, 85.18833, 7.621115, 200, 101.4282
