Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-18 08:44:06.0, 93.15434, 7.23595, 200, 101.4312
2008-05-18 08:44:16.1, 93.22511, 7.232703, 200, 101.428
2008-05-18 08:44:26.2, 93.77235, 7.207689, 200, 101.4282
2008-05-18 08:44:36.2, 93.49793, 7.220211, 200, 101.428
2008-05-18 08:44:46.3, 93.51975, 7.219213, 200, 101.4297
2008-05-18 08:44:56.4, 93.77634, 7.207507, 200, 101.4307
2008-05-18 08:45:06.4, 93.43198, 7.223227, 200, 101.4275
2008-05-18 08:45:16.5, 93.41372, 7.224062, 200, 101.4282
2008-05-18 08:45:26.5, 93.85639, 7.203863, 200, 101.4285
2008-05-18 08:45:36.6, 93.64172, 7.213645, 200, 101.4297
2008-05-18 08:45:46.7, 93.50669, 7.21981, 200, 101.4292
2008-05-18 08:45:56.7, 93.41712, 7.223906, 200, 101.4265
2008-05-18 08:46:06.8, 93.80486, 7.206208, 200, 101.4253
2008-05-18 08:46:16.9, 92.40995, 7.270285, 200, 101.425
