Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-19 08:33:26.9, 89.47365, 7.583299, 200, 101.4082
2008-05-19 08:33:37.0, 89.8313, 7.565886, 200, 101.4089
2008-05-19 08:33:47.1, 89.19765, 7.596792, 200, 101.4082
2008-05-19 08:33:57.1, 89.3558, 7.589055, 200, 101.4082
2008-05-19 08:34:07.2, 89.23672, 7.594879, 200, 101.4072
2008-05-19 08:34:17.2, 89.25139, 7.594161, 200, 101.4048
2008-05-19 08:34:27.3, 89.12003, 7.600595, 200, 101.4036
2008-05-19 08:34:37.4, 89.13971, 7.59963, 200, 101.4021
2008-05-19 08:34:47.5, 89.03673, 7.60468, 200, 101.4019
2008-05-19 08:34:57.5, 89.09654, 7.601747, 200, 101.4014
2008-05-19 08:35:07.6, 89.24829, 7.594312, 200, 101.397
2008-05-19 08:35:17.6, 89.17747, 7.597779, 200, 101.3982
2008-05-19 08:35:27.7, 88.89154, 7.611812, 200, 101.3933
2008-05-19 08:35:37.9, 88.95563, 7.608662, 200, 101.394
2008-05-19 08:35:47.9, 88.64723, 7.623843, 200, 101.394
2008-05-19 08:35:58.0, 88.71219, 7.62064, 200, 101.3914
2008-05-19 08:36:08.1, 88.4812, 7.632041, 200, 101.3923
2008-05-19 08:36:18.2, 88.79361, 7.61663, 200, 101.3906
2008-05-19 08:36:28.2, 88.74881, 7.618836, 200, 101.3899
2008-05-19 08:36:38.3, 88.39311, 7.636397, 200, 101.3875
2008-05-19 08:36:48.3, 88.71484, 7.620509, 200, 101.3884
2008-05-19 08:36:58.4, 88.49796, 7.631213, 200, 101.3875
2008-05-19 08:37:08.6, 88.44598, 7.633782, 200, 101.3882
2008-05-19 08:37:18.6, 88.63528, 7.624432, 200, 101.386
2008-05-19 08:37:28.7, 88.57004, 7.627652, 200, 101.387
2008-05-19 08:37:38.8, 88.28026, 7.641986, 200, 101.3833
2008-05-19 08:37:48.8, 88.26459, 7.642763, 200, 101.3857
2008-05-19 08:37:58.9, 88.15515, 7.64819, 200, 101.3835
2008-05-19 08:38:09.0, 88.21175, 7.645383, 200, 101.3872
2008-05-19 08:38:19.0, 88.07683, 7.65208, 200, 101.3857
2008-05-19 08:38:29.1, 88.20088, 7.645922, 200, 101.3862
2008-05-19 08:38:39.3, 88.07909, 7.651968, 200, 101.3835
2008-05-19 08:38:49.3, 88.13687, 7.649098, 200, 101.3843
2008-05-19 08:38:59.4, 88.18306, 7.646806, 200, 101.3855
2008-05-19 08:39:09.5, 88.10219, 7.650821, 200, 101.3848
2008-05-19 08:39:19.5, 87.83469, 7.664131, 200, 101.3835
2008-05-19 08:39:29.6, 87.94467, 7.658653, 200, 101.384
2008-05-19 08:39:39.7, 87.84294, 7.66372, 200, 101.3845
2008-05-19 08:39:49.7, 87.86053, 7.662843, 200, 101.3833
