Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
59:59.8,100.8721,6.941386,200,101.4109
00:09.9,101.1624,6.929208,200,101.4104
00:20.0,100.8007,6.944386,200,101.406
00:30.0,101.0445,6.934147,200,101.3987
00:40.1,100.0607,6.975645,200,101.3997
00:50.2,100.6193,6.952023,200,101.4141
01:00.2,101.1167,6.931122,200,101.4153
01:10.3,100.7668,6.94581,200,101.4231
01:20.4,100.4567,6.958881,200,101.4326
01:30.4,100.1208,6.973093,200,101.426
01:40.5,101.08,6.932659,200,101.4189
01:50.6,100.6542,6.950552,200,101.4075
02:00.8,100.3841,6.961947,200,101.4031
02:10.8,101.031,6.934715,200,101.3987
02:20.8,100.5326,6.955676,200,101.395
02:30.8,100.5787,6.953732,200,101.4019
02:40.8,101.2679,6.924795,200,101.4163
02:50.8,100.6298,6.951577,200,101.4255
03:00.8,100.183,6.970457,200,101.4231
03:10.9,100.1382,6.972356,200,101.4155
03:21.0,101.1987,6.927689,200,101.4219
03:31.0,101.4015,6.919214,200,101.4185
03:41.1,100.4612,6.958692,200,101.4136
03:51.2,99.94888,6.98039,200,101.4016
04:01.2,100.1474,6.971964,200,101.3997
04:11.3,100.2392,6.968075,200,101.4028
04:21.3,100.1505,6.971833,200,101.4102
04:31.4,99.92592,6.981366,200,101.4143
04:41.5,100.4948,6.957274,200,101.4197
04:51.5,100.8185,6.943638,200,101.4258
05:01.6,100.1376,6.972383,200,101.4202
05:11.7,99.96074,6.979887,200,101.408
05:21.7,99.75247,6.988746,200,101.4028
05:31.8,100.3884,6.961764,200,101.408
05:41.9,100.6286,6.951629,200,101.4167
05:52.0,100.549,6.954986,200,101.4106
06:02.0,100.3366,6.963955,200,101.4111
06:12.1,100.3186,6.964716,200,101.4138
06:22.2,100.2025,6.969631,200,101.4177
06:32.2,100.2949,6.965718,200,101.4233
06:42.3,100.3187,6.964714,200,101.4329
06:52.3,100.4963,6.957207,200,101.4363
07:02.4,99.9081,6.982124,200,101.4365
07:12.5,100.1981,6.969817,200,101.4255
07:22.5,100.1255,6.972892,200,101.4146
07:32.6,100.3654,6.96274,200,101.4089
07:42.7,100.5537,6.954785,200,101.417
07:52.7,100.0611,6.975627,200,101.4258
08:02.7,100.8741,6.941298,200,101.4241
08:12.8,100.4857,6.957658,200,101.4302
08:22.9,100.1942,6.969982,200,101.4392
08:32.9,100.2771,6.966473,200,101.4358
08:43.0,100.4234,6.960289,200,101.4336
08:53.0,100.4286,6.960067,200,101.4353
09:03.2,100.2164,6.969041,200,101.4355
09:13.2,100.0708,6.975214,200,101.4292
09:23.2,101.3633,6.920807,200,101.4282
09:33.2,100.5098,6.95664,200,101.4307
09:43.3,99.91013,6.982038,200,101.4316
09:53.3,101.0424,6.934235,200,101.4282
10:03.4,100.5817,6.953608,200,101.428
10:13.5,100.0035,6.978071,200,101.4329
10:23.5,99.88678,6.98303,200,101.4331
10:33.6,100.4152,6.960632,200,101.4338
10:43.7,100.357,6.963093,200,101.4397
10:53.7,100.6526,6.950618,200,101.4429
11:03.8,100.5457,6.955125,200,101.4375
11:13.9,100.2522,6.967528,200,101.4365
11:24.0,100.1672,6.971126,200,101.436
11:34.0,99.95131,6.980287,200,101.4387
11:44.1,100.2085,6.969375,200,101.4365
11:54.2,100.1105,6.973531,200,101.4377
12:04.2,100.1691,6.971047,200,101.4382
12:14.3,100.352,6.963303,200,101.4409
12:24.3,99.73866,6.989334,200,101.4468
12:34.4,100.2715,6.966711,200,101.45
12:44.5,100.0533,6.975955,200,101.4583
12:54.5,99.88614,6.983057,200,101.4592
13:04.6,100.2501,6.967615,200,101.4604
13:14.7,100.6234,6.951848,200,101.4539
13:24.9,100.0694,6.975276,200,101.4531
13:34.9,99.94736,6.980455,200,101.4531
13:45.0,100.3154,6.964852,200,101.4458
13:55.0,100.3119,6.965002,200,101.4385
14:05.1,100.3192,6.964691,200,101.4333
14:15.2,100.3819,6.962039,200,101.4326
14:25.2,100.2821,6.96626,200,101.4336
