Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-17 01:52:05.9, 99.84461, 7.052324, 200, 101.4731
2008-05-17 01:52:15.9, 99.71452, 7.057873, 200, 101.4753
2008-05-17 01:52:26.0, 99.69012, 7.058914, 200, 101.4714
2008-05-17 01:52:36.0, 99.50755, 7.066717, 200, 101.4709
2008-05-17 01:52:46.1, 99.86208, 7.051579, 200, 101.4724
2008-05-17 01:52:56.2, 99.71877, 7.057691, 200, 101.4736
2008-05-17 01:53:06.2, 99.6833, 7.059205, 200, 101.4722
2008-05-17 01:53:16.3, 100.063, 7.043029, 200, 101.4756
2008-05-17 01:53:26.4, 100.0927, 7.041767, 200, 101.4734
2008-05-17 01:53:36.4, 99.75823, 7.056007, 200, 101.4727
2008-05-17 01:53:46.5, 99.89915, 7.050001, 200, 101.4751
2008-05-17 01:53:56.6, 99.80509, 7.054009, 200, 101.4756
2008-05-17 01:54:06.7, 99.76553, 7.055696, 200, 101.4788
2008-05-17 01:54:16.7, 99.66569, 7.059957, 200, 101.4783
2008-05-17 01:54:26.8, 99.43638, 7.069763, 200, 101.4761
2008-05-17 01:54:36.8, 99.43819, 7.069685, 200, 101.4768
2008-05-17 01:54:46.9, 99.47771, 7.067994, 200, 101.4775
2008-05-17 01:54:57.0, 99.64487, 7.060846, 200, 101.4771
2008-05-17 01:55:07.0, 99.85218, 7.052002, 200, 101.4775
2008-05-17 01:55:17.1, 99.60293, 7.062638, 200, 101.48
2008-05-17 01:55:27.2, 99.50275, 7.066923, 200, 101.4819
2008-05-17 01:55:37.2, 99.66215, 7.060108, 200, 101.4792
2008-05-17 01:55:47.3, 99.37038, 7.07259, 200, 101.4785
2008-05-17 01:55:57.4, 99.45107, 7.069134, 200, 101.479
2008-05-17 01:56:07.5, 99.74392, 7.056618, 200, 101.4812
2008-05-17 01:56:17.5, 99.6592, 7.060234, 200, 101.4812
2008-05-17 01:56:27.6, 99.81094, 7.05376, 200, 101.481
2008-05-17 01:56:37.7, 99.47529, 7.068098, 200, 101.4824
2008-05-17 01:56:47.7, 99.56905, 7.064086, 200, 101.4819
2008-05-17 01:56:57.7, 99.19222, 7.080235, 200, 101.4836
2008-05-17 01:57:07.7, 99.66021, 7.060191, 200, 101.4836
2008-05-17 01:57:17.8, 99.27163, 7.076826, 200, 101.4832
2008-05-17 01:57:27.9, 99.52073, 7.066153, 200, 101.4851
2008-05-17 01:57:38.0, 99.47277, 7.068205, 200, 101.4871
2008-05-17 01:57:48.0, 99.44816, 7.069259, 200, 101.4871
2008-05-17 01:57:58.1, 99.35423, 7.073284, 200, 101.4871
2008-05-17 01:58:08.1, 98.89098, 7.093197, 200, 101.4851
2008-05-17 01:58:18.2, 99.26888, 7.076944, 200, 101.4875
2008-05-17 01:58:28.3, 99.20635, 7.079628, 200, 101.4871
2008-05-17 01:58:38.3, 99.66433, 7.060015, 200, 101.488
2008-05-17 01:58:48.4, 99.27068, 7.076867, 200, 101.489
2008-05-17 01:58:58.5, 99.21923, 7.079075, 200, 101.4897
2008-05-17 01:59:08.5, 99.21445, 7.07928, 200, 101.488
2008-05-17 01:59:18.6, 99.21085, 7.079434, 200, 101.4875
2008-05-17 01:59:28.7, 99.39729, 7.071438, 200, 101.4861
2008-05-17 01:59:38.8, 99.22366, 7.078885, 200, 101.4866
2008-05-17 01:59:48.8, 99.13543, 7.082675, 200, 101.4836
2008-05-17 01:59:58.9, 98.92352, 7.091795, 200, 101.4834
2008-05-17 02:00:08.9, 99.19758, 7.080004, 200, 101.4846
2008-05-17 02:00:19.0, 99.00645, 7.088223, 200, 101.4844
2008-05-17 02:00:29.1, 99.03313, 7.087074, 200, 101.4832
2008-05-17 02:00:39.1, 98.87518, 7.093878, 200, 101.4844
2008-05-17 02:00:49.2, 98.98655, 7.08908, 200, 101.4805
2008-05-17 02:00:59.3, 99.13561, 7.082667, 200, 101.4797
2008-05-17 02:01:09.3, 99.3852, 7.071956, 200, 101.4819
2008-05-17 02:01:19.4, 99.1361, 7.082646, 200, 101.4822
2008-05-17 02:01:29.5, 99.12012, 7.083333, 200, 101.4788
2008-05-17 02:01:39.5, 99.03876, 7.086833, 200, 101.4797
2008-05-17 02:01:49.6, 98.82195, 7.096174, 200, 101.4768
2008-05-17 02:01:59.7, 98.73814, 7.099792, 200, 101.4792
2008-05-17 02:02:09.8, 98.62067, 7.104869, 200, 101.4797
2008-05-17 02:02:19.8, 98.63454, 7.104269, 200, 101.4802
2008-05-17 02:02:29.9, 98.79992, 7.097125, 200, 101.4795
2008-05-17 02:02:39.9, 99.06002, 7.085918, 200, 101.4788
2008-05-17 02:02:50.0, 98.7177, 7.100674, 200, 101.4783
2008-05-17 02:03:00.1, 98.75066, 7.099251, 200, 101.4758
2008-05-17 02:03:10.1, 98.68861, 7.101932, 200, 101.4761
2008-05-17 02:03:20.2, 98.69773, 7.101537, 200, 101.4773
2008-05-17 02:03:30.3, 98.46874, 7.111446, 200, 101.4783
2008-05-17 02:03:40.3, 98.4593, 7.111855, 200, 101.478
2008-05-17 02:03:50.4, 98.73176, 7.100067, 200, 101.4761
2008-05-17 02:04:00.5, 98.82421, 7.096077, 200, 101.4797
2008-05-17 02:04:10.5, 98.63036, 7.10445, 200, 101.4775
2008-05-17 02:04:20.6, 98.70231, 7.10134, 200, 101.4749
2008-05-17 02:04:30.7, 98.50878, 7.109712, 200, 101.4749
2008-05-17 02:04:40.7, 98.56522, 7.107268, 200, 101.4758
2008-05-17 02:04:50.8, 98.48746, 7.110635, 200, 101.4746
2008-05-17 02:05:01.0, 98.35609, 7.116331, 200, 101.4761
2008-05-17 02:05:11.1, 98.76933, 7.098445, 200, 101.4753
2008-05-17 02:05:21.1, 98.38853, 7.114924, 200, 101.4758
2008-05-17 02:05:31.2, 98.47305, 7.11126, 200, 101.4773
2008-05-17 02:05:41.2, 98.30135, 7.118707, 200, 101.4753
2008-05-17 02:05:51.3, 98.57995, 7.106631, 200, 101.4741
2008-05-17 02:06:01.4, 98.29897, 7.11881, 200, 101.4749
2008-05-17 02:06:11.4, 98.51835, 7.109298, 200, 101.4746
2008-05-17 02:06:21.5, 98.08167, 7.128258, 200, 101.4724
2008-05-17 02:06:31.6, 98.14222, 7.125622, 200, 101.4758
2008-05-17 02:06:41.6, 98.43697, 7.112823, 200, 101.4744
2008-05-17 02:06:51.7, 98.17767, 7.124081, 200, 101.4739
2008-05-17 02:07:01.8, 98.27731, 7.119751, 200, 101.4734
2008-05-17 02:07:11.8, 98.08167, 7.128258, 200, 101.4727
2008-05-17 02:07:21.9, 98.45773, 7.111924, 200, 101.4709
2008-05-17 02:07:32.0, 97.756, 7.142464, 200, 101.4712
2008-05-17 02:07:42.0, 98.25498, 7.12072, 200, 101.4722
2008-05-17 02:07:52.1, 97.88618, 7.136779, 200, 101.4727
2008-05-17 02:08:02.1, 97.94118, 7.134379, 200, 101.4702
2008-05-17 02:08:12.1, 98.06388, 7.129032, 200, 101.47
2008-05-17 02:08:22.2, 98.12342, 7.12644, 200, 101.4688
2008-05-17 02:08:32.3, 97.8718, 7.137406, 200, 101.4714
2008-05-17 02:08:42.3, 97.86013, 7.137916, 200, 101.4697
2008-05-17 02:08:52.4, 98.05596, 7.129377, 200, 101.4685
2008-05-17 02:09:02.5, 97.92411, 7.135124, 200, 101.4656
2008-05-17 02:09:12.5, 97.78216, 7.141321, 200, 101.4663
2008-05-17 02:09:22.6, 97.80648, 7.140258, 200, 101.4673
2008-05-17 02:09:32.7, 97.86344, 7.137772, 200, 101.4653
2008-05-17 02:09:42.7, 97.7423, 7.143063, 200, 101.4673
2008-05-17 02:09:52.8, 97.63236, 7.147872, 200, 101.467
