Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-16 05:18:38.4, 84.67517, 5.618555, 200, 101.2795
2008-05-16 05:18:48.4, 85.20438, 5.597342, 200, 101.2803
2008-05-16 05:18:58.5, 85.0072, 5.605227, 200, 101.281
2008-05-16 05:19:08.6, 84.90962, 5.609137, 200, 101.2776
2008-05-16 05:19:18.6, 84.3569, 5.63139, 200, 101.2786
2008-05-16 05:19:28.7, 84.83409, 5.612167, 200, 101.2783
2008-05-16 05:19:38.7, 84.97044, 5.606699, 200, 101.2805
2008-05-16 05:19:48.8, 84.70052, 5.617535, 200, 101.2776
2008-05-16 05:19:58.9, 84.50729, 5.625317, 200, 101.2791
2008-05-16 05:20:09.0, 84.81796, 5.612815, 200, 101.2764
2008-05-16 05:20:19.0, 84.53331, 5.624268, 200, 101.2786
2008-05-16 05:20:29.1, 84.43869, 5.628086, 200, 101.2805
2008-05-16 05:20:39.2, 84.64053, 5.619949, 200, 101.2827
2008-05-16 05:20:49.2, 84.16481, 5.639165, 200, 101.2827
2008-05-16 05:20:59.3, 84.26279, 5.635196, 200, 101.2813
2008-05-16 05:21:09.4, 84.52528, 5.624592, 200, 101.2813
2008-05-16 05:21:19.4, 84.60545, 5.621361, 200, 101.2847
2008-05-16 05:21:29.5, 84.09398, 5.642037, 200, 101.2861
2008-05-16 05:21:39.5, 84.0365, 5.64437, 200, 101.2798
2008-05-16 05:21:49.6, 84.43805, 5.628111, 200, 101.2778
2008-05-16 05:21:59.7, 84.13719, 5.640285, 200, 101.2754
2008-05-16 05:22:09.7, 84.00613, 5.645603, 200, 101.2744
2008-05-16 05:22:19.8, 84.09131, 5.642146, 200, 101.2747
2008-05-16 05:22:29.9, 83.76819, 5.655287, 200, 101.2771
2008-05-16 05:22:40.0, 83.75873, 5.655672, 200, 101.2747
2008-05-16 05:22:50.0, 83.85706, 5.651666, 200, 101.2739
2008-05-16 05:23:00.1, 83.55133, 5.66414, 200, 101.2749
2008-05-16 05:23:10.2, 83.78732, 5.654507, 200, 101.2747
2008-05-16 05:23:20.2, 84.02647, 5.644777, 200, 101.2778
2008-05-16 05:23:30.3, 83.64716, 5.660224, 200, 101.2769
2008-05-16 05:23:40.3, 83.79642, 5.654136, 200, 101.2778
2008-05-16 05:23:50.4, 83.93834, 5.648359, 200, 101.2773
2008-05-16 05:24:00.5, 83.70329, 5.657933, 200, 101.2788
2008-05-16 05:24:10.5, 83.44917, 5.668321, 200, 101.2771
2008-05-16 05:24:20.6, 83.57089, 5.663341, 200, 101.2786
2008-05-16 05:24:30.7, 83.87274, 5.651028, 200, 101.2764
2008-05-16 05:24:40.7, 83.61623, 5.661488, 200, 101.2803
2008-05-16 05:24:50.8, 83.38646, 5.67089, 200, 101.2754
2008-05-16 05:25:00.9, 83.28528, 5.675041, 200, 101.2739
2008-05-16 05:25:10.9, 83.21326, 5.677998, 200, 101.2771
2008-05-16 05:25:21.0, 83.61279, 5.661628, 200, 101.2737
2008-05-16 05:25:31.1, 83.60484, 5.661953, 200, 101.2742
2008-05-16 05:25:41.2, 83.1433, 5.680875, 200, 101.2754
2008-05-16 05:25:51.2, 83.20486, 5.678343, 200, 101.2734
2008-05-16 05:26:01.3, 83.03201, 5.685456, 200, 101.2693
2008-05-16 05:26:11.3, 83.39471, 5.670552, 200, 101.2725
2008-05-16 05:26:21.4, 83.18513, 5.679154, 200, 101.2754
2008-05-16 05:26:31.5, 83.44272, 5.668585, 200, 101.2712
2008-05-16 05:26:41.5, 83.00548, 5.68655, 200, 101.2739
2008-05-16 05:26:51.6, 82.88368, 5.691574, 200, 101.2756
2008-05-16 05:27:01.7, 83.10335, 5.682519, 200, 101.2766
2008-05-16 05:27:11.9, 83.20071, 5.678514, 200, 101.2749
2008-05-16 05:27:21.9, 83.02481, 5.685753, 200, 101.2749
2008-05-16 05:27:32.0, 83.18225, 5.679273, 200, 101.2729
2008-05-16 05:27:42.0, 83.2424, 5.676801, 200, 101.2705
2008-05-16 05:27:52.1, 83.37083, 5.671531, 200, 101.2676
2008-05-16 05:28:02.2, 82.9438, 5.689093, 200, 101.2727
2008-05-16 05:28:12.2, 82.87639, 5.691875, 200, 101.2705
2008-05-16 05:28:22.3, 82.80714, 5.694736, 200, 101.27
2008-05-16 05:28:32.4, 82.97859, 5.687658, 200, 101.2703
2008-05-16 05:28:42.5, 83.09409, 5.682899, 200, 101.269
2008-05-16 05:28:52.6, 83.06557, 5.684074, 200, 101.2698
2008-05-16 05:29:02.7, 82.74796, 5.697183, 200, 101.2698
2008-05-16 05:29:12.7, 82.80872, 5.694671, 200, 101.2681
2008-05-16 05:29:22.8, 82.65805, 5.700905, 200, 101.2678
2008-05-16 05:29:32.9, 82.74503, 5.697305, 200, 101.269
2008-05-16 05:29:42.9, 82.91769, 5.69017, 200, 101.2649
2008-05-16 05:29:53.0, 82.88484, 5.691526, 200, 101.2686
2008-05-16 05:30:03.1, 82.81572, 5.694381, 200, 101.2686
2008-05-16 05:30:13.2, 82.52644, 5.706362, 200, 101.2708
2008-05-16 05:30:23.3, 82.89357, 5.691166, 200, 101.2668
2008-05-16 05:30:33.4, 82.47328, 5.70857, 200, 101.27
2008-05-16 05:30:43.4, 82.77771, 5.695953, 200, 101.2705
2008-05-16 05:30:53.5, 82.55591, 5.705139, 200, 101.2698
2008-05-16 05:31:03.6, 82.67961, 5.700012, 200, 101.2712
2008-05-16 05:31:13.6, 82.42717, 5.710485, 200, 101.2725
2008-05-16 05:31:23.7, 82.55336, 5.705245, 200, 101.2761
2008-05-16 05:31:33.8, 82.46924, 5.708737, 200, 101.2734
2008-05-16 05:31:44.0, 82.3844, 5.712264, 200, 101.2722
2008-05-16 05:31:54.0, 82.54741, 5.705492, 200, 101.2715
2008-05-16 05:32:04.1, 82.54262, 5.70569, 200, 101.2712
2008-05-16 05:32:14.1, 82.5694, 5.70458, 200, 101.2722
2008-05-16 05:32:24.2, 82.52684, 5.706345, 200, 101.2717
2008-05-16 05:32:34.3, 82.10957, 5.723716, 200, 101.2734
2008-05-16 05:32:44.3, 82.08569, 5.724713, 200, 101.2708
2008-05-16 05:32:54.4, 82.06235, 5.725689, 200, 101.2715
2008-05-16 05:33:04.5, 82.42902, 5.710409, 200, 101.2732
2008-05-16 05:33:14.6, 82.44994, 5.709539, 200, 101.2722
2008-05-16 05:33:24.7, 82.19478, 5.72016, 200, 101.2761
