Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-16 03:44:14.0, 99.60386, 7.062598, 200, 101.0615
2008-05-16 03:44:24.1, 99.35062, 7.073438, 200, 101.0615
2008-05-16 03:44:34.1, 99.64434, 7.060869, 200, 101.0601
2008-05-16 03:44:44.2, 99.45878, 7.068804, 200, 101.0593
2008-05-16 03:44:54.3, 99.29804, 7.075692, 200, 101.0623
2008-05-16 03:45:04.3, 99.41235, 7.070793, 200, 101.063
2008-05-16 03:45:14.4, 99.1628, 7.081498, 200, 101.0657
2008-05-16 03:45:24.5, 99.3112, 7.075129, 200, 101.0681
2008-05-16 03:45:34.5, 99.50034, 7.067026, 200, 101.0688
2008-05-16 03:45:44.6, 99.14501, 7.082263, 200, 101.0671
2008-05-16 03:45:54.7, 99.30074, 7.075577, 200, 101.0701
2008-05-16 03:46:04.7, 99.01856, 7.087701, 200, 101.072
2008-05-16 03:46:14.8, 99.2093, 7.079502, 200, 101.0735
2008-05-16 03:46:24.9, 98.96127, 7.090168, 200, 101.0745
2008-05-16 03:46:35.0, 99.13786, 7.082571, 200, 101.0732
2008-05-16 03:46:45.0, 99.21186, 7.079391, 200, 101.0742
2008-05-16 03:46:55.1, 99.03599, 7.086952, 200, 101.0718
2008-05-16 03:47:05.1, 98.81744, 7.096369, 200, 101.0708
2008-05-16 03:47:15.2, 98.98811, 7.089013, 200, 101.0696
2008-05-16 03:47:25.2, 98.7602, 7.098839, 200, 101.072
2008-05-16 03:47:35.3, 99.02413, 7.087461, 200, 101.072
2008-05-16 03:47:45.3, 98.70837, 7.101078, 200, 101.0745
2008-05-16 03:47:55.4, 98.39585, 7.114606, 200, 101.0737
2008-05-16 03:48:05.4, 98.73284, 7.100021, 200, 101.0718
2008-05-16 03:48:15.5, 98.6457, 7.103787, 200, 101.0723
2008-05-16 03:48:25.6, 98.78573, 7.097737, 200, 101.0713
2008-05-16 03:48:35.7, 98.73551, 7.099906, 200, 101.0723
2008-05-16 03:48:45.7, 98.44306, 7.112558, 200, 101.071
2008-05-16 03:48:55.8, 98.45222, 7.112163, 200, 101.073
2008-05-16 03:49:05.8, 98.45768, 7.111926, 200, 101.072
2008-05-16 03:49:15.9, 98.49749, 7.1102, 200, 101.071
2008-05-16 03:49:26.0, 98.11254, 7.126914, 200, 101.0735
2008-05-16 03:49:36.0, 98.43201, 7.113038, 200, 101.0737
2008-05-16 03:49:46.1, 98.27012, 7.120063, 200, 101.072
2008-05-16 03:49:56.2, 98.08305, 7.128198, 200, 101.0701
2008-05-16 03:50:06.2, 98.3773, 7.11541, 200, 101.072
2008-05-16 03:50:16.3, 97.98617, 7.132418, 200, 101.0735
2008-05-16 03:50:26.3, 98.31178, 7.118254, 200, 101.074
2008-05-16 03:50:36.4, 98.31676, 7.118037, 200, 101.0737
2008-05-16 03:50:46.5, 98.28367, 7.119475, 200, 101.0718
2008-05-16 03:50:56.6, 97.9078, 7.135835, 200, 101.071
2008-05-16 03:51:06.6, 97.90537, 7.135941, 200, 101.0713
2008-05-16 03:51:16.7, 98.05042, 7.129619, 200, 101.0732
2008-05-16 03:51:26.8, 97.87008, 7.137482, 200, 101.0725
2008-05-16 03:51:36.8, 97.72967, 7.143615, 200, 101.0728
2008-05-16 03:51:46.9, 98.16427, 7.124664, 200, 101.072
2008-05-16 03:51:57.0, 97.99799, 7.131903, 200, 101.0732
2008-05-16 03:52:07.0, 97.87508, 7.137263, 200, 101.0745
2008-05-16 03:52:17.0, 97.91113, 7.13569, 200, 101.0745
2008-05-16 03:52:27.0, 97.67783, 7.145883, 200, 101.0713
2008-05-16 03:52:37.1, 97.47677, 7.15469, 200, 101.0708
2008-05-16 03:52:47.2, 97.95741, 7.133672, 200, 101.0681
2008-05-16 03:52:57.2, 97.77627, 7.141579, 200, 101.0676
2008-05-16 03:53:07.3, 97.51009, 7.153229, 200, 101.0674
2008-05-16 03:53:17.4, 97.59866, 7.149348, 200, 101.0703
2008-05-16 03:53:27.5, 97.57264, 7.150488, 200, 101.0691
2008-05-16 03:53:37.5, 97.52757, 7.152463, 200, 101.0679
2008-05-16 03:53:47.6, 97.53115, 7.152306, 200, 101.0679
2008-05-16 03:53:57.6, 97.32513, 7.161347, 200, 101.0686
2008-05-16 03:54:07.7, 97.25655, 7.164362, 200, 101.0671
2008-05-16 03:54:17.8, 97.46639, 7.155145, 200, 101.0708
2008-05-16 03:54:27.9, 97.49668, 7.153817, 200, 101.0688
2008-05-16 03:54:37.9, 97.38355, 7.158781, 200, 101.0706
