Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2008-05-17 03:21:50.9, 100.6796, 7.016921, 200, 101.4421
2008-05-17 03:22:00.9, 100.4473, 7.026735, 200, 101.4431
2008-05-17 03:22:11.0, 100.0471, 7.043706, 200, 101.4431
2008-05-17 03:22:21.1, 99.99049, 7.046113, 200, 101.4392
2008-05-17 03:22:31.1, 100.1669, 7.038616, 200, 101.439
2008-05-17 03:22:41.2, 100.2624, 7.034568, 200, 101.4407
2008-05-17 03:22:51.3, 100.2518, 7.035016, 200, 101.4387
2008-05-17 03:23:01.3, 100.3171, 7.032248, 200, 101.4392
2008-05-17 03:23:11.4, 99.85703, 7.051795, 200, 101.4387
2008-05-17 03:23:21.5, 99.81878, 7.053425, 200, 101.4382
2008-05-17 03:23:31.5, 99.9733, 7.046844, 200, 101.439
2008-05-17 03:23:41.6, 99.40916, 7.070929, 200, 101.4397
2008-05-17 03:23:51.7, 100.0823, 7.04221, 200, 101.439
2008-05-17 03:24:01.8, 99.5644, 7.064285, 200, 101.4392
2008-05-17 03:24:11.8, 99.30059, 7.075583, 200, 101.4382
2008-05-17 03:24:21.9, 99.46848, 7.068389, 200, 101.4365
2008-05-17 03:24:31.9, 99.83752, 7.052627, 200, 101.4395
2008-05-17 03:24:42.0, 99.02305, 7.087509, 200, 101.4417
2008-05-17 03:24:52.0, 98.93824, 7.09116, 200, 101.4412
2008-05-17 03:25:02.1, 99.27042, 7.076878, 200, 101.4412
2008-05-17 03:25:12.3, 99.08201, 7.084971, 200, 101.4414
2008-05-17 03:25:22.5, 99.07435, 7.085301, 200, 101.4429
2008-05-17 03:25:32.6, 99.0178, 7.087734, 200, 101.4431
2008-05-17 03:25:42.8, 98.73338, 7.099998, 200, 101.4387
2008-05-17 03:25:53.0, 99.16959, 7.081206, 200, 101.4397
2008-05-17 03:26:03.2, 98.67577, 7.102487, 200, 101.4443
2008-05-17 03:26:13.3, 99.26665, 7.077039, 200, 101.446
2008-05-17 03:26:23.5, 98.75043, 7.099261, 200, 101.4429
2008-05-17 03:26:33.7, 99.01656, 7.087788, 200, 101.4436
2008-05-17 03:26:43.8, 98.82896, 7.095872, 200, 101.4431
2008-05-17 03:26:54.0, 98.53077, 7.108759, 200, 101.4436
2008-05-17 03:27:04.0, 98.62731, 7.104582, 200, 101.4407
2008-05-17 03:27:14.1, 98.65234, 7.103499, 200, 101.4443
2008-05-17 03:27:24.2, 98.70267, 7.101324, 200, 101.4436
2008-05-17 03:27:34.2, 98.15093, 7.125244, 200, 101.4431
2008-05-17 03:27:44.3, 98.25913, 7.12054, 200, 101.4404
2008-05-17 03:27:54.4, 98.32552, 7.117658, 200, 101.4417
2008-05-17 03:28:04.4, 98.16605, 7.124586, 200, 101.4424
2008-05-17 03:28:14.5, 98.34672, 7.116738, 200, 101.4443
2008-05-17 03:28:24.6, 98.31551, 7.118092, 200, 101.4434
2008-05-17 03:28:34.6, 98.23939, 7.121398, 200, 101.4429
2008-05-17 03:28:44.7, 98.02274, 7.130824, 200, 101.4417
2008-05-17 03:28:54.7, 98.39158, 7.114791, 200, 101.4417
2008-05-17 03:29:04.8, 98.21818, 7.12232, 200, 101.4414
2008-05-17 03:29:14.8, 98.01873, 7.130999, 200, 101.4407
2008-05-17 03:29:25.0, 97.66976, 7.146235, 200, 101.4409
2008-05-17 03:29:35.2, 98.04447, 7.129877, 200, 101.4407
2008-05-17 03:29:45.3, 97.98885, 7.132301, 200, 101.439
